"","user_id","activity_date","product_group","n_purchases","gold_spend"
"256",298386,2024-03-21,"Weapon",1,5
"257",305969,2024-03-21,"Weapon",1,7
"258",290202,2024-03-21,"Weapon",2,99
"259",308357,2024-03-21,"Weapon",1,12
"260",289029,2024-03-21,"Weapon",2,20
"261",306255,2024-03-21,"Boost",2,200
"262",291542,2024-03-21,"Weapon",1,15
"263",296259,2024-04-26,"Boost",2,200
"264",294787,2024-04-26,"Weapon",1,99
"265",305300,2024-04-26,"Boost",1,2
"266",288880,2024-04-26,"Boost",1,99
"267",309355,2024-04-26,"Weapon",1,13
"268",296531,2024-04-26,"Weapon",1,7
"269",280727,2024-04-26,"Boost",1,100
"270",305913,2024-04-10,"Boost",1,2
"271",275104,2024-04-10,"Weapon",3,28
"272",272598,2024-04-10,"Weapon",1,11
"273",296261,2024-04-10,"Boost",2,5
"274",304971,2024-04-10,"Weapon",5,20
"275",295936,2024-04-10,"Weapon",4,18
"276",284253,2024-04-10,"Weapon",2,19
"277",305150,2024-04-10,"Weapon",4,39
"278",289788,2024-04-10,"Weapon",1,11
"279",286023,2024-04-10,"Weapon",1,10
"280",306766,2024-04-10,"Boost",1,100
"281",307039,2024-04-10,"Weapon",1,8
"282",275099,2024-03-15,"Weapon",3,13
"283",279473,2024-03-15,"Weapon",8,39
"284",279785,2024-03-15,"Weapon",1,5
"285",306815,2024-03-15,"Weapon",4,38
"286",284330,2024-03-15,"Gear",1,990
"287",300952,2024-03-15,"Weapon",1,4
"288",274827,2024-03-15,"Gear",1,450
"289",287795,2024-03-15,"Weapon",3,35
"290",281972,2024-03-15,"Weapon",4,20
"291",302776,2024-03-15,"Weapon",1,15
"292",283810,2024-03-15,"Weapon",1,2
"293",281901,2024-03-15,"Weapon",2,18
"294",289439,2024-03-15,"Weapon",1,57
"295",285772,2024-03-15,"Boost",1,99
"296",286176,2024-03-15,"Weapon",3,38
"297",290643,2024-03-15,"Weapon",2,10
"298",293290,2024-03-15,"Weapon",1,5
"299",305258,2024-03-15,"Weapon",1,9
"300",290181,2024-03-13,"Weapon",3,15
"301",309046,2024-03-13,"Weapon",2,30
"302",304743,2024-03-13,"Weapon",3,9
"303",299020,2024-03-13,"Weapon",2,30
"304",277476,2024-03-13,"Weapon",1,47
"305",282546,2024-03-13,"Weapon",1,3
"306",276484,2024-03-13,"Weapon",2,30
"307",294191,2024-03-13,"Boost",1,100
"308",280128,2024-03-13,"Boost",1,49
"309",289209,2024-03-13,"Weapon",1,12
"310",308045,2024-03-13,"Boost",2,78
"311",283213,2024-03-13,"Weapon",1,5
"312",294542,2024-04-06,"Weapon",1,5
"313",307184,2024-04-06,"Boost",2,3
"314",273023,2024-04-06,"Weapon",1,42
"315",290916,2024-04-06,"Weapon",1,45
"316",277629,2024-04-06,"Weapon",9,85
"317",280769,2024-04-06,"Weapon",5,25
"318",283348,2024-04-06,"Weapon",2,9
"319",287332,2024-04-06,"Weapon",2,24
"320",303437,2024-04-06,"Boost",1,100
"321",303192,2024-04-06,"Weapon",2,46
"322",289439,2024-04-06,"Weapon",1,11
"323",301204,2024-04-06,"Boost",2,9
"324",274243,2024-04-06,"Boost",1,100
"325",275899,2024-03-20,"Boost",1,100
"326",305036,2024-03-20,"Boost",2,6
"327",294131,2024-03-20,"Weapon",1,2
"328",290519,2024-03-20,"Weapon",2,25
"329",293308,2024-03-20,"Boost",1,2
"330",284300,2024-03-20,"Weapon",4,20
"331",295726,2024-03-20,"Weapon",1,12
"332",291091,2024-03-20,"Weapon",1,37
"333",284810,2024-03-20,"Weapon",5,25
"334",301165,2024-03-20,"Boost",1,500
"335",287418,2024-03-20,"Weapon",2,30
"336",284827,2024-03-20,"Weapon",2,9
"337",301727,2024-03-20,"Weapon",4,20
"338",306269,2024-03-20,"Weapon",5,25
"339",285590,2024-03-20,"Weapon",1,9
"340",305025,2024-03-20,"Weapon",1,4
"341",290326,2024-03-20,"Weapon",1,500
"342",297173,2024-04-22,"Weapon",2,24
"343",275270,2024-04-22,"Weapon",1,7
"344",287123,2024-04-22,"Weapon",2,43
"345",285063,2024-04-22,"Weapon",1,15
"346",308010,2024-04-22,"Weapon",1,11
"347",283320,2024-04-22,"Weapon",1,8
"348",307997,2024-03-31,"Weapon",5,25
"349",290136,2024-03-31,"Weapon",3,14
"350",306102,2024-03-31,"Boost",3,300
"351",302171,2024-03-31,"Weapon",3,37
"352",282761,2024-03-31,"Boost",1,99
"353",299005,2024-03-31,"Gear",1,935
"354",291979,2024-03-31,"Weapon",2,10
"355",272968,2024-03-31,"Weapon",5,25
"356",307208,2024-03-31,"Boost",1,99
"357",295531,2024-03-31,"Weapon",4,20
"358",275000,2024-03-31,"Weapon",1,6
"359",279681,2024-03-31,"Weapon",1,5
"360",301743,2024-03-31,"Weapon",1,15
"361",305036,2024-03-31,"Boost",1,11
"362",298493,2024-03-31,"Weapon",2,10
"363",304517,2024-03-31,"Weapon",1,5
"364",272312,2024-04-21,"Weapon",2,15
"365",306545,2024-04-21,"Weapon",3,45
"366",277544,2024-04-21,"Weapon",4,23
"367",293748,2024-04-21,"Weapon",1,198
"368",296653,2024-04-21,"Weapon",7,58
"369",308616,2024-04-21,"Weapon",5,24
"370",303292,2024-04-21,"Weapon",1,15
"371",286841,2024-04-21,"Weapon",1,35
"372",305795,2024-04-21,"Weapon",1,47
"373",303831,2024-04-21,"Boost",1,99
"374",277445,2024-04-21,"Weapon",3,35
"375",281408,2024-03-19,"Weapon",1,48
"376",274926,2024-03-19,"Weapon",1,49
"377",308983,2024-03-19,"Weapon",8,69
"378",280191,2024-03-19,"Weapon",1,5
"379",274684,2024-03-19,"Weapon",2,11
"380",282124,2024-03-19,"Weapon",1,11
"381",295678,2024-03-19,"Boost",1,81
"382",284763,2024-04-27,"Boost",1,99
"383",280075,2024-04-27,"Weapon",1,31
"384",285302,2024-04-27,"Weapon",1,5
"385",289786,2024-04-27,"Weapon",5,6
"386",281020,2024-04-07,"Weapon",7,62
"387",283083,2024-04-07,"Weapon",6,57
"388",275307,2024-04-07,"Weapon",1,5
"389",283653,2024-04-07,"Weapon",1,2
"390",274576,2024-04-07,"Weapon",5,25
"391",307501,2024-04-07,"Weapon",2,30
"392",273678,2024-04-07,"Weapon",3,15
"393",274425,2024-04-07,"Weapon",1,5
"394",303954,2024-04-07,"Weapon",3,39
"395",285548,2024-04-07,"Weapon",1,15
"396",285218,2024-04-07,"Weapon",1,13
