"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"206",279199,2024-03-24,"Gold",9.99,72
"207",279199,2024-03-31,"Gold",9.99,91
"208",292453,2024-03-13,"Promotion",4.99,1
"209",307559,2024-04-13,"Gold",9.99,14
"210",290627,2024-03-11,"Remove Ads",NA,3
"211",284891,2024-03-22,"Gold",4.99,7
"212",284891,2024-04-02,"Gold",4.99,15
"213",295042,2024-03-28,"Promotion",4.99,1
"214",289115,2024-03-07,"Gold",4.99,5
"215",304190,2024-04-07,"Remove Ads",4.99,9
"216",275773,2024-03-09,"Gold",4.99,4
"217",275773,2024-03-14,"Gold",4.99,12
"218",287578,2024-03-13,"Promotion",4.99,2
"219",308370,2024-03-07,"Promotion",4.99,2
"220",308370,2024-04-04,"Gold",9.99,8
"221",278774,2024-04-09,"Promotion",4.99,3
"222",301525,2024-04-05,"Gold",4.99,5
"223",301239,2024-03-29,"Promotion",4.99,1
"224",282798,2024-03-28,"Gold",4.99,3
"225",278300,2024-04-12,"Promotion",4.99,1
"226",280354,2024-03-25,"Promotion",4.99,1
"227",305509,2024-04-12,"Promotion",4.99,7
"228",299957,2024-04-06,"Promotion",4.99,3
"229",277873,2024-03-02,"Promotion",4.99,3
"230",308217,2024-03-14,"Gold",4.99,2
"231",275379,2024-03-02,"Gold",4.99,2
"232",284622,2024-04-05,"Gold",4.99,7
"233",300318,2024-04-03,"Gold",4.99,3
"234",277161,2024-04-21,"Remove Ads",4.99,1
"235",277867,2024-04-23,"Promotion",4.99,9
"236",294997,2024-03-04,"Gold",4.99,3
"237",298696,2024-04-23,"Promotion",4.99,1
"238",299625,2024-03-30,"Gold",4.99,30
"239",279550,2024-03-28,"Promotion",4.99,2
"240",304321,2024-03-19,"Promotion",4.99,2
"241",272189,2024-03-21,"Remove Ads",4.99,2
"242",306713,2024-03-26,"Promotion",4.99,7
"243",287037,2024-03-24,"Promotion",9.99,9
"244",302039,2024-04-01,"Promotion",4.99,1
"245",307903,2024-03-21,"Gold",4.99,10
"246",278110,2024-03-10,"Gold",4.99,2
"247",276293,2024-03-23,"Gold",4.99,4
"248",295926,2024-03-02,"Gold",4.99,2
"249",299427,2024-04-02,"Remove Ads",4.99,23
"250",308519,2024-04-14,"Promotion",9.99,7
"251",274766,2024-04-10,"Remove Ads",4.99,5
"252",279199,2024-03-09,"Gold",9.99,34
"253",279199,2024-03-10,"Gold",9.99,35
"254",279199,2024-03-10,"Gold",9.99,39
"255",279199,2024-04-06,"Gold",9.99,100
"256",308673,2024-03-21,"Gold",9.99,2
"257",308845,2024-03-29,"Promotion",9.99,8
"258",294130,2024-04-13,"Promotion",9.99,4
"259",304459,2024-03-07,"Gold",4.99,1
"260",279328,2024-04-28,"Promotion",9.99,31
"261",277715,2024-04-17,"Promotion",4.99,1
"262",289186,2024-04-22,"Gold",4.99,2
"263",301525,2024-04-17,"Remove Ads",4.99,9
"264",282798,2024-04-11,"Gold",4.99,90
"265",282798,2024-04-12,"Gold",4.99,98
"266",291975,2024-03-17,"Gold",4.99,1
"267",299005,2024-03-31,"Gold",4.99,1
"268",303304,2024-05-01,"Remove Ads",4.99,6
"269",287596,2024-04-22,"Remove Ads",4.99,16
"270",299957,2024-03-29,"Promotion",4.99,1
"271",284622,2024-04-12,"Remove Ads",4.99,16
